NBL ID,NBA ID,Player,From,To,Pos,Ht,Wt,Birth Date
1117,NA,Walter Stankey,1938,1940,Forward-Center,NA,NA,NA
1118,NA,Clovis Stark,1938,1938,Forward,6-4,175,"October 6, 1914"
1119,NA,Ed Stege,1938,1938,Forward,6-6,214,"September 4, 1913"
1120,NA,Jack Stirling,1938,1939,Center,6-5,195,"November 16, 1917"
1121,NA,Jack Sullivan,1938,1938,Forward,6-1,182,NA
1122,NA,George Svendsen,1938,1938,Center-Forward,6-4,230,"March 22, 1913"
1123,NA,Everett Swank,1938,1939,Guard-Forward,5-11,165,"February 17, 1913"
1124,NA,Chelso Tamagno,1938,1939,Guard-Forward,6-0,180,"March 20, 1912"
1125,NA,Earl Thomas,1938,1939,Center,6-4,205,"September 22, 1915"
1126,NA,Paul Tobin,1938,1940,Guard,5-9,170,"November 23, 1909"
1127,NA,Augie Vander Meulen,1938,1939,Forward-Center,6-4,175,"November 6, 1909"
1128,NA,Norm Wagner,1938,1938,Center,6-5,200,"February 5, 1912"
1129,NA,Don Walsh,1938,1938,Forward,NA,NA,"September 13, 1916"
1130,NA,Warren Whitlinger,1938,1938,Forward,5-9,170,"April 4, 1914"
1131,NA,John Wiethe,1938,1938,Guard-Forward,6-0,198,"October 17, 1912"
1132,NA,Harlan Wilson,1938,1938,Guard,5-11,160,"February 3, 1914"
1133,NA,Eddie Wisbar,1938,1938,Center,6-6,200,"May 3, 1916"
1134,NA,Herm Witasek,1938,1942,Guard-Forward,6-2,210,"October 16, 1913"
1135,NA,Tarzan Woltzen,1938,1938,Guard-Forward,6-4,202,"June 29, 1905"
1136,NA,John Wooden,1938,1939,Guard,5-10,183,"October 14, 1910"
1137,NA,Loren Wright,1938,1938,Guard-Forward,5-10,145,"May 11, 1917"
1138,NA,Sparky Adams,1939,1940,Forward,6-1,185,"April 4, 1917"
1139,NA,Merle Alexander,1939,1939,Center-Forward,6-6,185,"September 2, 1907"
1140,NA,Carl Anderson,1939,1941,Guard,6-3,215,"November 16, 1913"
1141,NA,Byron Bell,1939,1939,Center,6-3,180,"June 9, 1914"
1142,NA,Polly Birch,1939,1946,Forward-Guard,6-1,190,"January 4, 1910"
1143,NA,Emmet Birk,1939,1939,Forward,6-1,185,"March 21, 1914"
1144,NA,Jim Birr,1939,1946,Forward-Center,6-3,215,"August 22, 1916"
1145,NA,Boris,1939,1939,Forward,NA,NA,NA
1146,NA,Lou Boudreau,1939,1939,Guard-Forward,5-11,170,"July 17, 1917"
1147,NA,Brown,1939,1939,Guard,NA,NA,NA
1148,NA,Jerry Bush,1939,1948,Forward-Center,6-3,200,"September 6, 1914"
1149,NA,Kieran Crowley,1939,1939,Guard,5-8,155,"June 7, 1916"
1150,NA,Ed Dancker,1939,1949,Center-Forward,6-7,214,"March 14, 1914"
1151,NA,Pick Dehner,1939,1939,Forward-Center,6-5,190,"August 29, 1914"
1152,NA,Glynn Downey,1939,1940,Guard,6-0,180,"September 10, 1915"
1153,NA,Dave Dupee,1939,1939,Forward,6-3,185,"March 30, 1916"
1154,NA,Floyd Ebaugh,1939,1942,Center,6-7,230,"May 30, 1914"
1155,1034,Joe Fabel,1939,1939,Forward-Guard,6-1,190,"May 15, 1917"
1156,NA,Ernie Fortney,1939,1946,Center,6-4,220,"January 6, 1915"
1157,NA,Steve Fowdy,1939,1939,Forward,6-2,180,"September 16, 1915"
1158,NA,Nick Frascella,1939,1941,Forward,6-2,185,"July 6, 1914"
1159,NA,Moose Graf,1939,1943,Forward-Center,6-3,200,"July 28, 1917"
1160,NA,Boney Grauman,1939,1939,Guard,6-2,200,"June 17, 1915"
1161,NA,Nick Hashu,1939,1946,Forward-Center,6-1,195,"February 1, 1917"
1162,NA,George Hesik,1939,1942,Forward-Center,6-2,195,"June 15, 1913"
1163,NA,Vern Huffman,1939,1939,Forward,6-2,215,"December 18, 1914"
1164,NA,Art Hyatt,1939,1940,Guard,6-2,190,"June 29, 1912"
1165,NA,James,1939,1939,Forward,NA,NA,NA
1166,1177,Buddy Jeannette,1939,1946,Guard,5-11,175,"September 15, 1917"
1167,NA,Bob Johnson,1939,1939,Guard,6-2,170,"January 29, 1917"
1168,NA,Joe Kinney,1939,1939,Center,NA,NA,NA
1169,NA,Eddie Kolar,1939,1939,Guard,5-10,170,"April 30, 1909"
1170,NA,Otto Kolar,1939,1942,Guard-Forward,6-3,180,"December 7, 1911"
1171,NA,Les Kuplic,1939,1940,Forward,6-3,200,"September 23, 1911"
1172,NA,Bill Laughlin,1939,1939,Forward,6-2,185,"December 10, 1915"
1173,NA,Rube Lautenschlager,1939,1947,Forward-Guard,6-3,190,"September 7, 1915"
1174,NA,Joe Leson,1939,1939,Forward,6-2,210,"August 24, 1912"
1175,NA,Slim Lonsdorf,1939,1939,Forward-Center,6-3,175,"March 22, 1905"
1176,NA,William McElligott,1939,1939,Center-Forward,6-2,180,NA
1177,NA,Mike McMichael,1939,1939,Guard,6-2,195,"July 4, 1915"
1178,NA,Ted Migdal,1939,1939,Forward,5-9,140,"February 14, 1918"
1179,NA,Johnny Moir,1939,1946,Forward-Center,6-2,184,"May 22, 1917"
1180,NA,Tommy Nisbet,1939,1943,Guard,5-10,165,"March 31, 1916"
1181,NA,Paul Nowak,1939,1942,Center,6-5,205,"March 15, 1914"
1182,NA,Vince Oliver,1939,1939,Guard,5-10,185,"December 28, 1915"
1183,NA,Bob Parsons,1939,1942,Forward-Guard,6-1,175,"June 11, 1915"
1184,NA,Squint Phares,1939,1939,Guard-Forward,5-10,NA,"December 31, 1915"
1185,NA,Bob Phillips,1939,1939,Guard,NA,NA,"April 8, 1917"
1186,NA,Johnny Posewitz,1939,1945,Guard,6-0,185,"August 9, 1906"
1187,NA,Scoop Posewitz,1939,1940,Guard,5-11,180,"September 12, 1908"
1188,NA,Lowis Proctor,1939,1939,Forward,6-2,230,"October 2, 1915"
1189,NA,Dave Quabius,1939,1943,Guard,6-0,185,"March 16, 1916"
1190,NA,Gene Rosenthal,1939,1939,Forward,5-11,175,"August 5, 1914"
1191,NA,Carl Roth,1939,1939,Guard-Forward,6-2,200,"September 15, 1909"
1192,NA,Rex Rudicel,1939,1939,Guard,5-6,150,"September 6, 1912"
1193,NA,Herm Schuessler,1939,1939,Center,6-8,210,"July 20, 1914"
1194,NA,Sicky,1939,1939,Guard,NA,NA,NA
1195,NA,Johnny Sines,1939,1942,Forward,6-1,190,"August 23, 1914"
1196,NA,Paul Sokody,1939,1943,Forward,6-2,170,"August 18, 1914"
1197,NA,Ed Spotovich,1939,1939,Forward-Center,6-2,190,"May 6, 1916"
1198,NA,Reno Strand,1939,1939,Guard-Forward,6-0,195,"May 14, 1909"
1199,NA,Kenny Suesens,1939,1949,Guard,6-1,175,"October 23, 1916"
1200,NA,Rip Terjesen,1939,1941,Forward-Center,6-4,185,"March 4, 1915"
1201,NA,Jack Thornton,1939,1942,Center-Forward,6-5,176,"August 31, 1914"
1202,NA,John Townsend,1939,1943,Center-Forward,6-4,208,"September 20, 1916"
1203,NA,Chub Watson,1939,1939,Center,6-2,197,"June 7, 1915"
1204,NA,Bob Weigandt,1939,1939,Guard,5-10,190,"February 5, 1914"
1205,NA,Bill Wendt,1939,1939,Forward,6-3,180,"March 20, 1915"
1206,NA,Willett,1939,1939,Forward,NA,NA,NA
1207,NA,Dave Williams,1939,1942,Center-Forward,6-3,210,"February 7, 1913"
1208,NA,Nick Yost,1939,1940,Forward-Center,6-4,220,"April 1, 1915"
1209,NA,Jewell Young,1939,1946,Guard-Forward,6-0,160,"January 18, 1913"
1210,NA,Stan Zadel,1939,1940,Forward-Center,6-5,215,"April 8, 1916"
1211,NA,Gene Anderson,1940,1942,Guard-Forward,6-2,190,"October 5, 1917"
1212,NA,Ernie Andres,1940,1948,Guard-Forward,6-1,200,"January 11, 1918"
1213,NA,Lou Barle,1940,1943,Forward,6-1,200,"June 23, 1916"
1214,NA,Buck Batterman,1940,1940,Forward,6-3,195,"April 1, 1918"
1215,NA,Connie Mack Berry,1940,1946,Forward-Center,6-3,210,"April 19, 1915"
1216,NA,Tony Carp,1940,1940,Forward,6-7,215,"March 2, 1911"
1217,NA,Chuck Chuckovits,1940,1942,Forward-Guard,6-1,175,"July 10, 1912"
1218,NA,Marv Colen,1940,1940,Guard,6-0,170,"March 8, 1915"
1219,NA,Gene Cramer,1940,1940,Center,6-1,195,"July 13, 1915"
1220,NA,Jim Currie,1940,1940,Guard-Forward,6-2,185,"December 15, 1916"
1221,NA,Harold Dembo,1940,1940,Forward,5-7,145,"December 24, 1915"
1222,NA,Wilbur Fox,1940,1940,Forward-Center,6-5,185,"January 19, 1919"
1223,1041,Nat Frankel,1940,1940,Forward-Guard,6-0,195,"November 3, 1913"
1224,NA,Laddie Gale,1940,1940,Forward,6-4,190,"April 22, 1917"
1225,NA,Pim Goff,1940,1941,Forward-Center,6-4,190,"May 13, 1912"
1226,1341,Dale Hamilton,1940,1949,Guard-Forward,6-0,180,"August 16, 1919"
1227,NA,Al Hanisko,1940,1940,NA,NA,NA,NA
1228,NA,Bob Hassmiller,1940,1942,Guard,6-1,185,"December 17, 1916"
1229,NA,Ray Hayes,1940,1940,Guard-Forward,6-0,180,"December 17, 1905"
1230,NA,Joel Hitt,1940,1940,Center-Forward,6-2,180,"December 30, 1916"
1231,NA,George Hogan,1940,1946,Guard-Forward,6-1,171,"April 12, 1915"
1232,NA,Darwin Hutchins,1940,1941,Center-Forward,6-6,195,"December 9, 1915"
1233,NA,Lou Jagnow,1940,1940,Guard,6-1,180,"July 31, 1910"
1234,NA,Elmer Johnson,1940,1941,Forward-Center,6-4,190,"January 23, 1910"
1235,1074,Wilbert Kautz,1940,1942,Guard-Forward,6-0,180,"September 7, 1915"
1236,NA,Buzz Knoblauch,1940,1940,Forward,6-1,170,"April 22, 1912"
1237,NA,Garland Lewis,1940,1940,Forward,6-4,190,"April 27, 1912"
1238,NA,Karl Lillge,1940,1940,Forward-Guard,6-0,170,"July 17, 1917"
1239,NA,Bill Lloyd,1940,1941,Guard-Forward,6-2,180,"December 16, 1915"
1240,NA,Bob MacLeod,1940,1940,Forward,6-0,190,"October 15, 1917"
1241,NA,Gordon McComb,1940,1940,Guard,5-10,160,"February 21, 1917"
1242,NA,Ward Meyers,1940,1940,Center,NA,NA,NA
1243,NA,Jim Montgomery,1940,1941,Forward-Center,6-3,190,"April 13, 1915"
1244,NA,Tex Mueller,1940,1943,Guard,6-1,175,"July 29, 1916"
1245,NA,Jake Nagode,1940,1941,Forward-Guard,6-2,170,"July 11, 1915"
1246,NA,Bobby Neu,1940,1946,Guard-Forward,6-1,175,"June 28, 1917"
1247,1262,Mike Novak,1940,1948,Center-Forward,6-9,219,"April 23, 1915"
1248,NA,Tommy O'Brien,1940,1941,Guard-Forward,5-8,165,"February 16, 1916"
1249,NA,Sonny Olson,1940,1940,Forward,6-0,165,"November 2, 1917"
1250,NA,Bernie Opper,1940,1941,Guard,6-0,185,"September 1, 1915"
1251,NA,Eddie Oram,1940,1948,Forward-Guard,6-3,175,"October 5, 1914"
1252,NA,Eddie Parry,1940,1947,Forward-Guard,6-2,175,"January 29, 1918"
1253,NA,Pete Pederson,1940,1942,Forward-Center,6-4,200,"October 28, 1910"
1254,NA,Willie Phillips,1940,1940,Guard-Forward,5-8,175,NA
1255,NA,Scoop Putnam,1940,1942,Guard-Forward,6-0,175,"September 8, 1912"
1256,NA,Rube Reiswerg,1940,1940,Guard,5-8,175,"August 10, 1912"
1257,NA,Riskind,1940,1940,Guard,NA,NA,NA
1258,NA,Eddie Sadowski,1940,1946,Guard,5-10,175,"February 2, 1915"
1259,NA,Harry Sorensen,1940,1941,Center-Forward,6-4,200,"March 27, 1914"
1260,NA,Joe Spudic,1940,1940,Forward,6-4,210,"October 24, 1912"
1261,NA,Ben Stephens,1940,1942,Guard-Forward,6-0,175,"November 27, 1916"
1262,NA,Marv Stout,1940,1940,Guard,5-11,155,"August 6, 1915"
1263,NA,Sally Suddith,1940,1940,Guard,6-1,170,"December 26, 1910"
1264,NA,Duane Swanson,1940,1940,Guard-Forward,6-1,185,"August 12, 1913"
1265,NA,Hale Swanson,1940,1940,Guard-Forward,6-3,200,"September 6, 1914"
1266,NA,Homer Thompson,1940,1947,Forward-Center,6-4,215,"January 18, 1916"
1267,1154,Irv Torgoff,1940,1940,Forward,6-2,192,"March 6, 1917"
1268,NA,Howard Vocke,1940,1942,Guard,6-3,190,"March 16, 1915"
1269,1838,George Wilson,1940,1940,Forward,6-1,190,"February 3, 1914"
1270,NA,Slim Wintermute,1940,1940,Center,6-8,200,"July 9, 1917"
1271,NA,Tom Wukovits,1940,1946,Guard,5-11,165,"February 4, 1916"
1272,NA,Jake Ahearn,1941,1941,Guard,6-2,185,"January 6, 1918"
1273,NA,Ralph Amsden,1941,1941,Center,6-4,200,"January 1, 1917"
1274,NA,Art Anderson,1941,1941,Center,6-6,190,"July 1, 1916"
1275,NA,Herb Ball,1941,1941,Forward-Guard,6-2,195,"July 27, 1918"
1276,NA,Bill Behr,1941,1941,Guard,6-2,190,"July 7, 1919"
1277,NA,Emil Benko,1941,1941,Guard,NA,NA,"November 9, 1913"
1278,NA,Al Benson,1941,1941,Center,6-6,220,NA
1279,NA,Fred Beretta,1941,1941,Guard,5-11,160,"January 24, 1917"
1280,NA,Wink Bowman,1941,1941,Guard,NA,NA,"January 22, 1916"
1281,NA,Jim Brown,1941,1941,Guard-Forward,6-1,190,"June 13, 1912"
1282,NA,Bob Calihan,1941,1949,Forward-Guard,6-3,200,"August 2, 1918"
1283,1309,Bob Carpenter,1941,1949,Forward-Center,6-5,200,"November 6, 1917"
1284,1029,Bob Dille,1941,1941,Forward,6-3,190,"July 2, 1917"
1285,NA,Paul DuCharme,1941,1941,Guard,5-11,160,"August 27, 1917"
1286,NA,Dick Evans,1941,1943,Forward-Center,6-3,200,"May 31, 1917"
1287,NA,Ted Falda,1941,1941,Guard,6-0,180,"January 2, 1920"
1288,NA,Adam Filipczak,1941,1941,Guard,5-10,170,"February 12, 1915"
1289,NA,Bill Hapac,1941,1948,Forward-Guard,6-2,188,"January 26, 1918"
1290,NA,Pete Hecomovich,1941,1941,Guard,6-4,205,"June 13, 1918"
1291,NA,Jim Higgins,1941,1941,Center,6-8,220,"December 25, 1918"
1292,NA,Marv Huffman,1941,1941,Forward,6-2,185,"March 14, 1917"
1293,NA,Jack Jennings,1941,1941,Center-Forward,6-6,195,"April 2, 1918"
1294,NA,Splinter Johnson,1941,1941,Forward-Center,6-3,190,"June 16, 1920"
1295,NA,Bill Lane,1941,1941,Forward-Center,6-4,220,"November 2, 1916"
1296,NA,Bill McDonald,1941,1948,Guard-Forward,6-3,190,"November 5, 1916"
1297,NA,Bill O'Brien,1941,1941,Forward,6-4,185,"November 13, 1917"
1298,NA,Tom O'Toole,1941,1941,Center,6-4,NA,"May 14, 1913"
1299,NA,Page,1941,1941,Guard,NA,NA,NA
1300,1266,Jake Pelkington,1941,1948,Center-Forward,6-6,220,"January 3, 1916"
1301,NA,Jack Piana,1941,1941,Forward,6-2,190,"August 6, 1918"
1302,NA,Erv Prasse,1941,1946,Guard-Forward,6-2,190,"December 1, 1917"
1303,NA,Paul Price,1941,1941,Forward,5-8,175,NA
1304,NA,Jule Rivlin,1941,1948,Guard,5-11,160,"February 2, 1917"
1305,NA,Clem Ruh,1941,1941,Guard,5-10,165,"October 31, 1915"
1306,1130,Ed Sadowski,1941,1946,Center,6-5,240,"July 11, 1917"
1307,NA,Rusty Saunders,1941,1946,Forward-Center,6-3,205,"March 12, 1906"
1308,NA,Steve Sitko,1941,1945,Guard,6-0,185,"November 18, 1917"
1309,NA,Bill Sumerix,1941,1941,Guard,6-4,220,"February 11, 1912"
1310,NA,Stan Szukala,1941,1947,Guard,6-0,175,"June 12, 1918"
1311,NA,Chet Tollstam,1941,1941,Forward-Center,6-2,180,"September 23, 1918"
1312,NA,Ralph Vaughn,1941,1947,Guard-Forward,6-1,175,"February 12, 1918"
1313,NA,John Wiggers,1941,1941,Center,6-9,200,"August 6, 1917"
1314,NA,Al Alvarez,1942,1942,Guard,6-0,160,"October 5, 1912"
1315,1202,Curly Armstrong,1942,1948,Guard-Forward,5-11,170,"November 1, 1918"
1316,NA,Don Beery,1942,1942,Guard,6-0,180,"February 23, 1920"
1317,NA,Blackie Blacklidge,1942,1942,Forward,6-3,185,"March 19, 1920"
1318,NA,Gene Brownell,1942,1944,Center,6-6,235,"November 4, 1917"
1319,NA,Rudy Debnar,1942,1946,Guard,5-11,160,"May 9, 1916"
1320,NA,Bob Dietz,1942,1948,Guard-Forward,6-1,164,"December 4, 1917"
1321,NA,John Drish,1942,1942,Forward,NA,NA,"October 3, 1920"
1322,NA,Bob Dro,1942,1942,Guard-Forward,6-0,190,"October 12, 1918"
1323,NA,Gran Edwards,1942,1942,Guard,6-6,185,"March 24, 1918"
1324,NA,Tommy Edwards,1942,1942,Forward,5-10,170,"January 14, 1911"
1325,NA,Harry Eich,1942,1942,Forward,NA,NA,"January 6, 1916"
1326,NA,Don Elser,1942,1942,Forward-Center,6-4,220,"August 4, 1913"
1327,NA,Bud Engdahl,1942,1946,Guard,6-1,210,"July 2, 1918"
1328,1326,Gene Englund,1942,1949,Forward-Center,6-5,205,"October 21, 1917"
1329,NA,Charlie Epperson,1942,1946,Forward-Guard,6-2,180,"June 16, 1919"
1330,NA,Eddie Erban,1942,1947,Forward-Center,6-4,220,"July 6, 1921"
1331,NA,Mark Ertel,1942,1942,Center-Forward,6-4,196,"February 26, 1919"
1332,1170,Elmer Gainer,1942,1949,Forward-Center,6-6,195,NA
1333,1227,George Glamack,1942,1949,Center-Forward,6-6,225,"June 7, 1918"
1334,NA,Ken Griffith,1942,1942,Guard,6-2,195,"July 31, 1918"
1335,NA,Pat Hintz,1942,1943,Guard,6-0,175,"February 4, 1914"
1336,NA,Lee Huber,1942,1942,Guard,6-1,180,"February 6, 1919"
1337,NA,Harold Hull,1942,1942,Forward,6-4,190,"May 16, 1920"
1338,NA,Jack Keller,1942,1943,Forward-Guard,6-2,185,"June 22, 1922"
1339,NA,Bill Komenich,1942,1945,Forward-Guard,6-3,210,"July 1, 1916"
