Player ID,NBA ID,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Active
1060,NA,Jason Williams,2002,2002,F,6-6,217,NA,Radford,No
1061,NA,Jeff Aubry,2002,2005,C,6-11,250,"June 29, 1977",NA,No
1062,NA,Jeff Boese,2002,2002,F,6-7,200,NA,NA,No
1063,NA,Jeff Myers,2002,2005,G,6-2,196,"December 3, 1974","St. Francis (NY), Drexel",No
1064,NA,Jeremy Veal,2002,2003,G,6-3,185,"May 2, 1976",Arizona State,No
1065,NA,Jermaine Tate,2002,2005,C,6-9,235,"November 17, 1976","Ohio State, Cincinnati",No
1066,NA,Jimmie Hunter,2002,2002,G,6-4,180,"December 24, 1977",Memphis,No
1067,3925,Jimmy King,2002,2002,G,6-5,210,"August 9, 1973",Michigan,No
1068,NA,Joe Brown,2002,2002,G,6-7,188,NA,"Hofstra, Coppin State",No
1069,3908,John Coker,2002,2002,C,7-0,253,"October 28, 1971",Boise State,No
1070,NA,John Jackson,2002,2002,F,6-8,215,NA,Mississippi,No
1071,NA,John Strickland,2002,2002,F,6-8,203,NA,NA,No
1072,NA,Johnny Hemsley,2002,2002,G,6-5,195,"August 25, 1977",Miami (FL),No
1073,NA,Johnny Phillips,2002,2002,F,6-9,250,"August 31, 1979",Texas Tech,No
1074,4088,Johnny Taylor,2002,2002,F,6-9,220,"June 4, 1974",Chattanooga,No
1075,4447,Kaniel Dickens,2002,2008,F,6-8,215,"July 21, 1978",Idaho,No
1076,NA,Kareem Poole,2002,2003,C,7-1,247,"January 1, 1975",NA,No
1077,NA,Keil Zepernick,2002,2002,C,6-11,211,NA,New Hampshire,No
1078,NA,Kelvin Price,2002,2002,F,6-8,203,NA,"Louisiana, Charlotte",No
1079,NA,Kenny Gregory,2002,2002,F,6-5,208,"November 16, 1978",Kansas,No
1080,NA,Kimani Ffriend,2002,2002,C,6-11,220,"July 29, 1977",Nebraska,No
1081,NA,Kris Hunter,2002,2002,C,6-11,230,"May 29, 1977","Virginia, Jacksonville",No
1082,3935,Lawrence Moten,2002,2002,G,6-5,185,"March 25, 1972",Syracuse,No
1083,NA,Lee Scruggs,2002,2003,F,6-11,216,"April 15, 1979",Georgetown,No
1084,NA,Livan Pyfrom,2002,2002,C,6-11,240,"May 19, 1978",Creighton,No
1085,NA,Lonnie Harrell,2002,2004,G,6-7,205,"November 11, 1972","Georgetown, Northeastern",No
1086,NA,Lorenzo Coleman,2002,2002,C,7-0,303,NA,Tennessee Tech,No
1087,4142,Makhtar N'Diaye,2002,2002,F,6-8,245,"December 12, 1973","Michigan, North Carolina",No
1088,NA,Marshall Phillips,2002,2002,F,6-5,200,"October 10, 1975",Appalachian State,No
1089,3928,Martin Lewis,2002,2002,F,6-5,210,"April 28, 1975","Butler County Community College, Seward County Community College",No
1090,NA,Maurice Jeffers,2002,2002,G,6-4,195,"April 3, 1979",Saint Louis,No
1091,NA,Merl Code,2002,2002,G,6-2,190,"February 5, 1974",Clemson,No
1092,4285,Mike Smith,2002,2002,F,6-8,195,"April 15, 1976",Louisiana-Monroe,No
1093,4423,Mike Wilks,2002,2003,G,5-10,185,"May 7, 1979",Rice,No
1094,NA,Nate Green,2002,2003,F,6-5,190,"December 2, 1977",Indiana State,No
1095,NA,Nate Johnson,2002,2003,F,6-6,215,"September 8, 1977",Nebraska,No
1096,NA,Neil Edwards,2002,2002,C,6-11,211,NA,NA,No
1097,NA,Nick Sheppard,2002,2006,C,6-11,270,"August 22, 1976","Louisiana State, Pepperdine",No
1098,4443,Omar Cook,2002,2005,G,6-1,190,"January 28, 1982",St. John's (NY),No
1099,NA,Osiris Ricardo,2002,2002,C,6-10,250,"April 16, 1977",NA,No
1100,4117,Paul Grant,2002,2003,C,7-0,245,"January 6, 1974","Boston College, Wisconsin",No
1101,NA,Rahim Lockhart,2002,2002,F,6-8,255,"January 25, 1978",Mississippi,No
1102,NA,Ramel Lloyd,2002,2002,G,6-4,225,"June 28, 1978","Syracuse, Long Beach State",No
1103,NA,Rashad Phillips,2002,2002,G,5-10,162,"May 5, 1978",Detroit Mercy,No
1104,NA,Rasul Salahuddin,2002,2002,G,6-3,195,"June 8, 1974",Long Beach State,No
1105,NA,Ray Tutt,2002,2002,G,6-4,205,NA,NA,No
1106,NA,Ricky Moore,2002,2002,G,6-2,195,"March 10, 1976",Connecticut,No
1107,NA,Rineo Vlijter,2002,2002,C,6-10,211,NA,NA,No
1108,NA,Ron Kelley,2002,2002,F,6-8,203,NA,NC State,No
1109,4069,Rusty LaRue,2002,2004,G,6-2,210,"December 10, 1973",Wake Forest,No
1110,NA,Sah-u-Ra Brown,2002,2003,C,6-11,228,"April 9, 1979",Lehigh,No
1111,NA,Saul Smith,2002,2003,G,6-2,175,"March 28, 1979",Kentucky,No
1112,NA,Scoonie Penn,2002,2003,G,5-11,180,"January 9, 1977","Boston College, Ohio State",No
1113,3765,Scott Burrell,2002,2002,G,6-7,218,"January 12, 1971",Connecticut,No
1114,NA,Sean Daugherty,2002,2003,F,6-11,235,"November 20, 1975",Wisconsin,No
1115,NA,Sedric Webber,2002,2004,F,6-6,200,"January 5, 1977",College of Charleston,No
1116,NA,Sergio McClain,2002,2002,G,6-4,230,"November 2, 1978",Illinois,No
1117,NA,Shelly Clark,2002,2002,F,6-9,250,"December 18, 1972",Illinois,No
1118,NA,Skip Youngblood,2002,2002,F,6-7,255,"June 7, 1977",NA,No
1119,NA,Stais Boseman,2002,2002,G,6-4,200,"March 10, 1975",Southern California,No
1120,NA,Steve Hart,2002,2002,G,6-3,192,NA,NA,No
1121,NA,Tai Crutchfield,2002,2004,G,6-6,210,"April 15, 1979",NA,No
1122,4329,Tang Hamilton,2002,2006,F,6-8,220,"May 26, 1978",Mississippi State,No
1123,NA,Terquin Mott,2002,2002,F,6-8,245,"January 30, 1974","La Salle, Coppin State",No
1124,NA,Terrance Martin,2002,2002,G,6-3,196,NA,NA,No
1125,4279,Terrance Roberson,2002,2002,F,6-7,215,"December 30, 1976",Fresno State,No
1126,NA,Terrell McIntyre,2002,2003,G,5-9,182,"October 18, 1977",Clemson,No
1127,3772,Terry Dehere,2002,2002,G,6-2,190,"September 12, 1971",Seton Hall,No
1128,NA,Tes Whitlock,2002,2002,G,6-2,188,NA,"Arizona State, Hawaii",No
1129,NA,Tezale Archie,2002,2002,G,6-1,166,"March 14, 1977",Pepperdine,No
1130,3919,Thomas Hamilton,2002,2003,C,7-2,330,"April 3, 1975",Pitt,No
1131,NA,Tom Wideman,2002,2002,C,6-10,260,"November 5, 1976",Clemson,No
1132,NA,Tony Christie,2002,2002,F,6-7,221,"November 22, 1976",Clemson,No
1133,NA,Tony Harris,2002,2002,G,6-0,165,NA,Tennessee,No
1134,4326,Tremaine Fowlkes,2002,2007,F,6-8,220,"April 11, 1976","California, Fresno State",No
1135,NA,Troy Rolle,2002,2002,G,6-2,210,"October 12, 1976",Utah State,No
1136,NA,Tyrone Ellis,2002,2002,G,6-5,187,NA,NA,No
1137,NA,Tyson Patterson,2002,2002,G,5-9,175,NA,Appalachian State,No
1138,NA,Vernon Jennings,2002,2002,G,6-4,193,NA,Miami (FL),No
1139,NA,Victor Avila,2002,2002,F,6-10,285,NA,Oklahoma,No
1140,NA,Walter Craft,2002,2002,C,6-11,251,NA,Detroit Mercy,No
1141,NA,omm'A Givens,2002,2002,F,6-11,211,NA,"UCLA, Pepperdine",No
1142,4243,A.J. Guyton,2003,2003,G,6-1,180,"February 12, 1978",Indiana,No
1143,NA,Aaron Owens,2003,2003,G,6-3,190,"March 20, 1974",NA,No
1144,NA,Alpha Bangura,2003,2009,F,6-4,215,NA,"Monmouth, St. John's (NY)",No
1145,NA,Altron Jackson,2003,2003,F,6-6,186,"February 2, 1980",South Florida,No
1146,NA,Andre Woolridge,2003,2003,G,6-0,190,"November 11, 1973","Nebraska, Iowa",No
1147,4253,Art Long,2003,2003,F,6-9,250,"October 1, 1972",Cincinnati,No
1148,NA,Bakari Hendrix,2003,2007,F,6-8,230,"May 23, 1977",Gonzaga,No
1149,4352,Bobby Simmons,2003,2012,G,6-7,210,"June 2, 1980",DePaul,No
1150,NA,Brandon Kurtz,2003,2004,F,6-10,255,"June 27, 1978",Tulsa,No
1151,NA,Brandon Smith,2003,2003,G,6-7,215,NA,"Michigan, San Diego State",No
1152,4098,Brandon Williams,2003,2003,G,6-6,215,"February 27, 1975",Davidson,No
1153,NA,Bryan Lucas,2003,2004,F,6-7,246,"September 25, 1978",North Texas,No
1154,NA,Calvin Bowman,2003,2003,F,6-9,211,"August 15, 1977",West Virginia,No
1155,4061,Cedric Henderson,2003,2005,F,6-7,215,"March 11, 1975",Memphis,No
1156,NA,Chris Anderson,2003,2003,F,6-6,215,"December 4, 1974",NA,No
1157,NA,Chudney Gray,2003,2004,G,6-3,185,NA,St. John's (NY),No
1158,4103,Corey Benjamin,2003,2003,G,6-6,200,"February 24, 1978",Oregon State,No
1159,NA,Corey Sanders,2003,2006,C,6-11,215,"July 11, 1979","Cal State Fullerton, New Orleans",No
1160,3891,Cory Alexander,2003,2005,G,6-1,185,"June 22, 1973",Virginia,No
1161,NA,Courtney Eldridge,2003,2003,G,5-10,185,NA,UNC Greensboro,No
1162,NA,Curtis Staples,2003,2004,G,6-3,198,"July 14, 1976",Virginia,No
1163,NA,Cypheus Bunton,2003,2003,F,6-7,200,"February 11, 1972",Western Kentucky,No
1164,4307,Damone Brown,2003,2009,F,6-9,200,"June 28, 1979",Syracuse,No
1165,NA,David Dixon,2003,2003,C,6-11,280,"November 21, 1978",Washington,No
1166,NA,David Evans,2003,2003,F,6-5,196,NA,NA,No
1167,4341,Dean Oliver,2003,2003,G,5-11,180,"November 5, 1978",Iowa,No
1168,NA,Demetric Shaw,2003,2003,G,6-3,195,"September 21, 1978","Tulane, Kent State",No
1169,3685,Derek Strong,2003,2003,F,6-8,220,"February 9, 1968",Xavier,No
1170,4370,Devin Brown,2003,2012,G,6-5,220,"December 30, 1978",UTSA,No
1171,NA,Eddie Elisma,2003,2003,F,6-9,213,"April 9, 1975",Georgia Tech,No
1172,4241,Eddie Gill,2003,2009,G,6-0,190,"August 16, 1978",Weber State,No
1173,NA,Elton Mashack,2003,2003,F,6-5,196,NA,Loyola Marymount,No
1174,NA,Eric Williams,2003,2007,F,6-8,243,"July 6, 1978","Syracuse, Massachusetts",No
1175,4308,Ernest Brown,2003,2005,C,7-0,244,"May 17, 1979",Indian Hills Community College,No
1176,NA,Fred Williams,2003,2003,F,6-8,220,"December 7, 1974",UAB,No
1177,NA,Gary Williams,2003,2004,G,6-7,201,NA,Southern California,No
1178,4505,Geno Carlisle,2003,2009,G,6-3,180,"August 13, 1976","Northwestern, California",No
1179,NA,Geoff Owens,2003,2004,F,6-10,240,"March 1, 1978",Pennsylvania,No
1180,NA,George Williams,2003,2008,F,6-8,220,"January 3, 1981",Houston,No
1181,NA,Gerald Walker,2003,2003,G,6-1,190,"December 27, 1973",San Francisco,No
1182,NA,Giannis Giannoulis,2003,2003,F,6-9,220,"June 5, 1976",NA,No
1183,NA,Greg Gray,2003,2003,G,6-7,201,NA,South Carolina State,No
1184,NA,Greg Jones,2003,2003,G,6-1,205,"September 21, 1974",West Virginia,No
1185,NA,Ike Nwankwo,2003,2004,C,6-11,260,NA,"UCLA, Long Beach State",No
1186,4489,Ime Udoka,2003,2006,F,6-6,215,"August 9, 1977","San Francisco, Portland State",No
1187,4280,Jamal Robinson,2003,2003,F,6-7,212,"December 27, 1973",Virginia,No
1188,NA,Jason Capel,2003,2004,F,6-8,237,"January 15, 1980",North Carolina,No
1189,4358,Jeff Trepagnier,2003,2010,G,6-4,200,"July 11, 1979",Southern California,No
1190,NA,Jefferson Sobral,2003,2003,F,6-8,187,"April 4, 1980",NA,No
1191,NA,Jermaine Walker,2003,2003,F,6-7,225,"April 5, 1977",Miami (FL),No
1192,NA,Jermaine Williams,2003,2003,C,6-10,225,"March 7, 1979",Charlotte,No
1193,NA,Joe Marshall,2003,2003,G,6-2,200,"April 18, 1979","Mississippi State, Purdue",No
1194,NA,Joe White,2003,2003,F,6-9,245,"December 5, 1979",Texas A&M,No
1195,NA,John Linehan,2003,2003,G,5-9,165,"May 1, 1978",Providence,No
1196,NA,Johnny Goodman,2003,2003,F,6-6,195,NA,NA,No
1197,4128,Jonathan Kerner,2003,2003,C,6-11,245,"June 6, 1974","Florida State, East Carolina",No
1198,NA,Junie Sanders,2003,2004,G,6-3,221,"May 12, 1972",NA,No
1199,NA,Karim Shabazz,2003,2004,C,7-2,230,"November 2, 1978","Florida State, Providence",No
1200,NA,Kevin Lyde,2003,2011,F,6-10,260,"March 12, 1980",Temple,No
1201,NA,Kevin Morris,2003,2003,G,6-0,183,NA,"Georgia Tech, Georgia State",No
1202,NA,Kitwana Rhymer,2003,2003,C,6-10,256,"May 22, 1978",Massachusetts,No
1203,NA,LaVall Jordan,2003,2003,G,6-2,190,"April 16, 1979",Butler,No
1204,NA,Larry Abney,2003,2003,F,6-8,220,"September 1, 1977",Fresno State,No
1205,NA,Larry Reid,2003,2004,G,6-0,170,"January 10, 1980",Kansas State,No
1206,NA,Lonnie Jones,2003,2003,C,7-0,228,"November 8, 1979",Ball State,No
1207,NA,Luis Fernando,2003,2003,C,6-11,211,NA,NA,No
1208,NA,Luke Recker,2003,2003,G,6-6,210,"June 17, 1978","Indiana, Iowa",No
1209,4681,Lynn Greer,2003,2003,G,6-2,175,"October 23, 1979",Temple,No
1210,NA,Marc Mazur,2003,2005,C,6-10,264,"January 9, 1979",Detroit Mercy,No
1211,NA,Marcus Evans,2003,2003,F,6-9,250,NA,Rhode Island,No
1212,NA,Marcus Fleming,2003,2004,F,6-8,215,"September 12, 1978",Alcorn State,No
1213,4431,Matt Barnes,2003,2003,F,6-7,235,"March 9, 1980",UCLA,No
1214,NA,Mike King,2003,2006,G,6-4,180,"March 26, 1978",George Washington,No
1215,4141,Mikki Moore,2003,2014,C,6-11,225,"November 4, 1975",Nebraska,No
1216,4347,Norm Richardson,2003,2006,G,6-5,190,"July 24, 1979",Hofstra,No
1217,NA,Peter Cornell,2003,2003,C,6-11,245,"June 1, 1976",Loyola Marymount,No
1218,4167,Rafer Alston,2003,2012,G,6-2,171,"July 24, 1976",Fresno State,No
1219,NA,Raynell Brewer,2003,2003,C,7-1,210,NA,McNeese State,No
1220,NA,Richie Dalmau,2003,2003,G,6-6,198,"October 23, 1973",NA,No
1221,NA,Robert Conley,2003,2003,G,6-6,198,NA,NA,No
1222,NA,Rod Grizzard,2003,2004,G,6-8,200,"June 13, 1980",Alabama,No
1223,NA,Rodney Bias,2003,2005,F,6-9,240,"August 27, 1979",NA,No
1224,NA,Ron Riley,2003,2003,G,6-5,200,"December 27, 1973",Arizona State,No
1225,NA,Ron Rollerson,2003,2003,F,6-10,295,"September 20, 1980",Temple,No
1226,NA,Ryan Carroll,2003,2003,G,6-5,204,"August 1, 1979",TCU,No
1227,4235,Sean Colson,2003,2003,G,6-0,175,"July 1, 1975","Rhode Island, Charlotte",No
1228,NA,Sean Peterson,2003,2004,G,6-1,185,NA,Georgia Southern,No
1229,NA,Shawn Igo,2003,2003,C,6-10,225,"January 3, 1975",NA,No
1230,4082,Shea Seals,2003,2003,G,6-5,210,"August 26, 1975",Tulsa,No
1231,4281,Soumaila Samake,2003,2003,C,7-0,230,"March 18, 1978",NA,No
1232,NA,Teddy Dupay,2003,2003,G,5-10,178,"June 26, 1979",Florida,No
1233,NA,Terrence Shannon,2003,2005,F,6-7,185,"December 16, 1979",NA,No
1234,NA,Thad Delaney,2003,2003,F,6-8,250,"November 20, 1973",NA,No
1235,NA,Thomas McKenzie,2003,2003,C,6-11,240,"September 21, 1979",NA,No
1236,4311,Tierre Brown,2003,2009,G,6-2,189,"June 3, 1979",McNeese State,No
1237,NA,Tobe Carberry,2003,2004,G,6-2,185,"April 9, 1978",Vermont,No
1238,NA,Tory Walker,2003,2003,F,6-8,188,"August 16, 1979",New Orleans,No
1239,NA,Ty Shine,2003,2003,G,6-0,181,"June 2, 1978",Seton Hall,No
1240,NA,Tyrone Washington,2003,2003,F,6-10,257,"September 16, 1976",Mississippi State,No
1241,NA,Val Brown,2003,2003,G,6-1,175,"December 21, 1980",NA,No
1242,4384,Adam Harrington,2004,2010,G,6-5,200,"July 5, 1980","NC State, Auburn",No
1243,4629,Alex Scales,2004,2006,G,6-4,185,"July 3, 1978",Oregon,No
1244,NA,Alvin Pettway,2004,2004,F,6-9,240,"December 8, 1979",Alabama State,No
1245,NA,Andre Smith,2004,2004,G,6-2,165,NA,UNC Asheville,No
1246,NA,Antonio Meeking,2004,2009,F,6-8,245,"August 24, 1981",Louisiana Tech,No
1247,4532,Brandin Knight,2004,2005,G,6-0,180,"December 16, 1981",Pittsburgh,No
1248,NA,Brian Brown,2004,2005,G,6-4,200,"February 14, 1979",Ohio State,No
1249,4466,Britton Johnsen,2004,2008,F,6-10,210,"July 8, 1979",Utah,No
1250,NA,Carl English,2004,2005,G,6-5,205,"February 2, 1981",Hawaii,No
1251,NA,Cheyne Gadson,2004,2012,G,6-3,190,"July 17, 1980",Oklahoma State,No
1252,NA,Chris Christoffersen,2004,2004,C,7-2,300,"August 13, 1979",Oregon,No
1253,NA,Chuck Eidson,2004,2004,G,6-7,205,"October 10, 1980",South Carolina,No
1254,NA,Courtney James,2004,2004,F,6-8,270,"December 24, 1976",Minnesota,No
1255,NA,Damian Reid,2004,2004,C,6-9,240,"June 24, 1978",Saint Joseph's,No
1256,NA,DeMario Jones,2004,2004,F,6-7,220,"April 23, 1979",NA,No
1257,NA,Derrick Bird,2004,2004,G,6-4,195,"March 11, 1980","Central Michigan, Auburn",No
1258,4649,Derrick Zimmerman,2004,2006,G,6-3,195,"December 2, 1981",Mississippi State,No
1259,4480,Desmond Penigar,2004,2004,F,6-7,245,"July 16, 1981",Utah State,No
1260,NA,Donnell Knight,2004,2004,F,6-7,200,"December 5, 1979",Arizona State,No
1261,4568,Earl Barron,2004,2015,C,7-0,245,"August 14, 1981",Memphis,No
1262,4229,Erick Barkley,2004,2004,G,6-1,177,"February 21, 1978",St. John's (NY),No
1263,NA,Erron Maxey,2004,2004,F,6-6,270,"December 6, 1978",Providence,No
1264,NA,Ezra Williams,2004,2009,G,6-4,235,"November 2, 1980",Georgia,No
1265,NA,Greg Stevenson,2004,2004,F,6-6,220,"February 10, 1978","Penn State, Richmond",No
1266,4454,Hiram Fuller,2004,2006,F,6-9,240,"May 15, 1981",Fresno State,No
1267,4692,James Lang,2004,2009,C,6-10,285,"October 17, 1983",NA,No
1268,NA,Jarrod Gee,2004,2004,F,6-8,240,"December 26, 1975",Illinois,No
1269,4234,Jason Collier,2004,2004,C,7-0,260,"September 8, 1977","Indiana, Georgia Tech",No
1270,NA,John Locklier,2004,2004,C,6-10,230,NA,NA,No
1271,NA,Josh Asselin,2004,2004,F,6-11,250,"December 24, 1978",Michigan,No
1272,NA,Justin Hamilton,2004,2004,NA,NA,NA,"December 19, 1980",Florida,No
1273,NA,Kareem Reid,2004,2006,G,5-11,218,"August 27, 1975",Arkansas,No
1274,4394,Ken Johnson,2004,2006,F,6-11,240,"February 1, 1978",Ohio State,No
1275,4349,Kenny Satterfield,2004,2004,G,6-2,186,"April 10, 1981",Cincinnati,No
1276,NA,Kent Williams,2004,2004,G,6-2,180,"April 23, 1981",Southern Illinois,No
1277,NA,Kevin Owens,2004,2006,C,6-10,230,"June 9, 1980",Monmouth,No
1278,NA,Kipp Christianson,2004,2004,C,7-0,265,"September 30, 1974",NA,No
1279,NA,Kris Lang,2004,2008,F,6-11,247,"December 12, 1979",North Carolina,No
1280,NA,Kueth Duany,2004,2004,G,6-6,190,"April 22, 1980",Syracuse,No
1281,4275,Lavor Postell,2004,2004,G,6-5,215,"February 26, 1978",St. John's (NY),No
1282,NA,Lavoris Jerry,2004,2004,G,6-3,180,NA,Eastern Kentucky,No
1283,NA,Leonard Stokes,2004,2006,G,6-6,200,NA,Cincinnati,No
1284,4266,Mamadou N'Diaye,2004,2004,C,7-0,255,"June 16, 1975",Auburn,No
1285,NA,Marque Perry,2004,2004,G,6-1,185,"January 28, 1981",Saint Louis,No
1286,4233,Mateen Cleaves,2004,2009,G,6-2,205,"September 7, 1977",Michigan State,No
1287,4440,Matt Carroll,2004,2005,G,6-6,212,"August 28, 1980",Notre Dame,No
1288,NA,Matt Laur,2004,2004,C,6-11,211,"August 1, 1980",NA,No
1289,NA,Nick Neumann,2004,2004,C,7-1,216,NA,Florida Atlantic,No
1290,NA,Patrick Doctor,2004,2004,F,6-9,230,"February 11, 1980",American,No
1291,NA,Philip Ricci,2004,2004,F,6-7,253,"May 31, 1980",Oregon State,No
1292,NA,Reed Rawlings,2004,2006,G,6-7,215,"September 1, 1978",Samford,No
1293,NA,Reggie Elliott,2004,2004,G,6-5,190,"June 20, 1973",Mercer,No
1294,NA,Rick Apodaca,2004,2004,G,6-3,190,"July 1, 1980",Hofstra,No
1295,NA,Rico Hill,2004,2004,F,6-7,230,"February 14, 1977",Illinois State,No
1296,NA,Rolan Roberts,2004,2004,F,6-6,250,"April 24, 1978","Virginia Tech, Southern Illinois",No
1297,4448,Ronald Dupree,2004,2013,F,6-7,209,"January 26, 1981",Louisiana State,No
1298,NA,Sam Clancy,2004,2004,F,6-7,240,"May 4, 1980",Southern California,No
1299,NA,Tarvis Williams,2004,2004,F,6-9,200,"January 22, 1978",Hampton,No
1300,4339,Terence Morris,2004,2004,F,6-9,221,"January 11, 1979",Maryland,No
1301,NA,Tony Rutland,2004,2004,G,6-2,185,"February 27, 1975",Wake Forest,No
1302,NA,Victor Williams,2004,2004,G,5-10,187,"October 15, 1979","Illinois State, Oklahoma State",No
1303,NA,Will Gibbs,2004,2004,G,6-5,200,NA,NA,No
1304,NA,Will Pippen,2004,2004,F,6-8,220,"August 30, 1980",NA,No
1305,NA,Adam Parada,2005,2005,C,7-0,265,"October 21, 1981",UC Irvine,No
1306,NA,Antoine Landry,2005,2005,G,5-11,170,NA,Louisiana,No
1307,NA,Antoine Pettway,2005,2005,G,6-0,170,"November 13, 1982",Alabama,No
1308,NA,Antwan Jones,2005,2005,F,6-8,217,"August 12, 1979",Cincinnati,No
1309,NA,Austin Nichols,2005,2006,G,6-6,200,"April 8, 1982",NA,No
1310,NA,Ben Adams,2005,2006,G,6-1,187,"May 6, 1979",New Orleans,No
1311,NA,Bernard King,2005,2006,G,6-5,195,"July 24, 1981",Texas A&M,No
